# Agências do Banco Regional de Fomento S.A. (BRF)
# Fonte: Banco Central do Brasil — API Informes_Agencias (ODbL)
# URL: https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1
# Atualizado em: 05/04/2026 | Total: 300 agências
# CNPJ BRF: 07.237.373/0001-20 | Código COMPE: 004
#
codigo,nome,municipio,uf,cep,endereco,bairro,ddd,telefone
6,Arapiraca,Arapiraca,AL,57300-070,Rua Fernandes Lima,Centro,82,35228550
7,Batalha,Batalha,AL,57420-000,Praca Da Penha,Centro,82,35311259
282,Coruripe,Coruripe,AL,57230-000,Rua Lindolfo Simoes,Centro,82,32732132
281,Delmiro Gouveia,Delmiro Gouveia,AL,57480-000,Rua Manoel Monteiro,Centro,82,36411332
31,Maceio Centro,Maceio,AL,57020-330,Rua Dr. Melo Moraes,Centro,82,32164500
229,Maceió Antares,Maceio,AL,57083-048,Av. Antonio Lisboa Amorim,Antares,82,33745616
190,Maceió Farol,Maceio,AL,57052-400,Av.Fernandes Lima,Gruta De Lourdes,82,33383424
280,Maragogi,Maragogi,AL,57955-000,Pc Guedes De Miranda,Centro,82,32962578
32,Mata Grande,Mata Grande,AL,57540-000,Rua Siqueira Campos,Centro,82,36421107
336,Olho D'Agua Das Flores,Olho D'Agua Das Flores,AL,57442-000,Av 2 De Dezembro,Centro,82,36232350
80,Palmeira Dos Indios,Palmeira Dos Indios,AL,57600-030,Rua Jose Maria Passos,Centr0,82,34214401
66,Penedo,Penedo,AL,57200-000,Av. Floriano Peixoto,Centro,82,35512225
279,Rio Largo,Rio Largo,AL,57100-000,Rua  Candido Lins,Centro,82,32611135
165,Santana Do Ipanema,Santana Do Ipanema,AL,57500-000,"Praca Sen Eneas Araujo, 38",Centro,82,36211421
222,São Miguel Dos Campos,Sao Miguel Dos Campos,AL,57240-000,Rua Barão De Jequia,Centro,38,37411613
110,Uniao Dos Palmares,Uniao Dos Palmares,AL,57800-000,Av. Xv De Novembro 64,Centro,82,32811420
355,Vicosa ,Vicosa,AL,57700-000,Rua Frederico Maia,Centro,82,988013746
83,Alagoinhas,Alagoinhas,BA,48000-173,"Praca Dr Milton Jose Ornelas, S/N",Centro,75,34037900
151,Andarai,Andarai,BA,46830-000,"Praca São Francisco, S/N",Alto Do Ibirapitanga,75,33355500
324,Araci,Araci,BA,48760-000,Rua José Pedro De Carvalho,Centro,75,32663800
